keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASE皮带	11.0	0.15692984926574868	3.1612	2013	2013	2017	5	3.5	1	0
@PHRASE采摘机	36.0	0.10098473640442485	3.4804	2012	2013	2017	5	6.5	1	1
@PHRASE链条	10.0	0.04472125109891925	3.5379	2010	2010	2013	4	2.5	1	0
@PHRASE收获机	107.0	0.014130630979087698	3.1302	2010	2010	2012	3	11.5	1	0
@PHRASE红辣椒	8.0	0.02090763440155134	3.3336	2011	2011	2018	8	4.5	1	0
@PHRASE滚筒	36.0	0.08901029378110414	3.4804	2010	2013	2017	5	9.5	1	3
@PHRASE设计	10.0	0.016014728854517192	3.305	2015	2018	2019	2	2.5	1	3
@PHRASE采摘器	14.0	0.1353317295760166	4.3091	2010	2010	2018	9	6.5	1	0
@PHRASE除杂	59.0	0.06532948414453921	5.3927	2013	2021	2022	2	8.5	1	8
@PHRASE料斗	29.0	0.12904578051268661	2.9971	2011	2011	2020	10	7.5	1	0
