keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASEdesign	7.0	0.1453633492945811	1.8085	2016	2016	2018	3	1.5	1	0
@PHRASEclassification	5.0	0.0988488423535662	1.365	2016	2019	2021	3	2.5	1	3
@PHRASEbell pepper	7.0	0.3175501472194786	1.3052	2010	2010	2016	7	5.5	1	0
@PHRASEperformance	4.0	0.05851496749877473	1.4067	2022	2022	2025	4	2.5	1	0
@PHRASEframework	4.0	0.012031965520337614	1.3579	2017	2017	2020	4	2.5	1	0
@PHRASElocalization	7.0	0.020793689984562533	2.6078	2016	2016	2019	4	1.5	1	0
@PHRASEfield evaluation	3.0	0.005863177480552344	1.5108	2021	2021	2022	2	0.5	1	0
@PHRASEfruit detection	4.0	0.016356026201138848	1.9823	2019	2019	2020	2	0.5	1	0
@PHRASEdeep learning	10.0	0.1893752010939511	2.7417	2021	2021	2025	5	2.5	1	0
@PHRASErobot	3.0	0.20091552405551316	1.5983	2016	2016	2017	2	-0.5	1	0
@PHRASEcolor	6.0	0.15730255730709947	1.5785	2015	2019	2020	2	4.5	1	4
